"","options"
"957","chicken, capons, meat and skin and giblets and neck, cooked, roasted"
"958","chicken, capons, meat and skin, raw"
"959","chicken, capons, meat and skin, cooked, roasted"
"960","chicken, capons, giblets, raw"
"961","chicken, capons, giblets, cooked, simmered"
"962","duck, domesticated, meat and skin, raw"
"963","duck, domesticated, meat and skin, cooked, roasted"
"964","duck, domesticated, meat only, raw"
"965","duck, domesticated, meat only, cooked, roasted"
"966","duck, domesticated, liver, raw"
"967","duck, wild, meat and skin, raw"
"968","duck, wild, breast, meat only, raw"
"969","goose, domesticated, meat and skin, raw"
"970","goose, domesticated, meat and skin, cooked, roasted"
"971","goose, domesticated, meat only, raw"
"972","goose, domesticated, meat only, cooked, roasted"
"973","goose, liver, raw"
"974","guinea hen, meat and skin, raw"
"975","guinea hen, meat only, raw"
"976","pheasant, raw, meat and skin"
"977","pheasant, raw, meat only"
"978","pheasant, breast, meat only, raw"
"979","pheasant, leg, meat only, raw"
"980","quail, meat and skin, raw"
"981","quail, meat only, raw"
"982","quail, breast, meat only, raw"
"983","squab, (pigeon), meat and skin, raw"
"984","squab, (pigeon), meat only, raw"
"985","squab, (pigeon), light meat without skin, raw"
"986","turkey, whole, meat and skin, raw"
"987","turkey, whole, meat and skin, cooked, roasted"
"988","turkey, whole, meat only, raw"
"989","turkey, whole, meat only, cooked, roasted"
"990","turkey, skin from whole, (light and dark), raw"
"991","turkey, skin from whole (light and dark), roasted"
"992","turkey, whole, giblets, raw"
"993","turkey, whole, giblets, cooked, simmered"
"994","turkey, gizzard, all classes, raw"
"995","turkey, gizzard, all classes, cooked, simmered"
"996","turkey, heart, all classes, raw"
"997","turkey, heart, all classes, cooked, simmered"
"998","turkey, liver, all classes, raw"
"999","turkey, liver, all classes, cooked, simmered"
"1000","turkey from whole, neck, meat only, raw"
"1001","turkey from whole, neck, meat only, cooked, simmered"
"1002","turkey from whole, light meat, meat and skin, raw"
"1003","turkey from whole, light meat, meat and skin, cooked, roasted"
"1004","turkey, dark meat, meat and skin, raw"
"1005","turkey, dark meat from whole, meat and skin, cooked, roasted"
"1006","turkey from whole, light meat, raw"
"1007","turkey, all classes, light meat, cooked, roasted"
"1008","turkey from whole, dark meat, meat only, raw"
"1009","turkey, from whole, dark meat, cooked, roasted"
"1010","turkey, all classes, back, meat and skin, cooked, roasted"
"1011","turkey, all classes, breast, meat and skin, raw"
"1012","turkey, all classes, breast, meat and skin, cooked, roasted"
"1013","turkey, all classes, leg, meat and skin, raw"
"1014","turkey, all classes, leg, meat and skin, cooked, roasted"
"1015","turkey, all classes, wing, meat and skin, raw"
"1016","turkey, all classes, wing, meat and skin, cooked, roasted"
"1017","turkey, fryer-roasters, meat and skin, cooked, roasted"
"1018","turkey, back from whole bird, meat only, raw"
"1019","turkey, back, from whole bird, meat only, roasted"
"1020","turkey, breast, from whole bird, meat only, raw"
"1021","turkey, breast, from whole bird, meat only, roasted"
"1022","turkey, wing, from whole bird, meat only, raw"
"1023","turkey, wing, from whole bird, meat only, roasted"
"1024","turkey, young hen, skin only, cooked, roasted"
"1025","chicken, canned, meat only, with broth"
"1026","pate de foie gras, canned (goose liver pate), smoked"
"1027","turkey, canned, meat only, with broth"
"1028","turkey, diced, light and dark meat, seasoned"
"1029","turkey and gravy, frozen"
"1030","turkey breast, pre-basted, meat and skin, cooked, roasted"
"1031","turkey thigh, pre-basted, meat and skin, cooked, roasted"
"1032","turkey roast, boneless, frozen, seasoned, light and dark meat, raw"
"1033","turkey sticks, breaded, battered, fried"
"1034","poultry, mechanically deboned, from backs and necks with skin, raw"
"1035","poultry, mechanically deboned, from backs and necks without skin, raw"
"1036","poultry, mechanically deboned, from mature hens, raw"
"1037","turkey, mechanically deboned, from turkey frames, raw"
"1038","ground turkey, raw"
"1039","ground turkey, cooked"
"1040","chicken, cornish game hens, meat and skin, raw"
"1041","chicken, cornish game hens, meat and skin, cooked, roasted"
"1042","chicken, cornish game hens, meat only, raw"
"1043","chicken, cornish game hens, meat only, cooked, roasted"
"1044","chicken, canned, no broth"
"1045","chicken, wing, frozen, glazed, barbecue flavored"
"1046","chicken, wing, frozen, glazed, barbecue flavored, heated (microwave)"
"1047","chicken, broilers or fryers, breast, skinless, boneless, meat only, with added solution, raw"
"1048","duck, young duckling, domesticated, white pekin, breast, meat and skin, boneless, cooked, roasted"
"1049","duck, young duckling, domesticated, white pekin, breast, meat only, boneless, cooked without skin, broiled"
"1050","duck, young duckling, domesticated, white pekin, leg, meat and skin, bone in, cooked, roasted"
"1051","duck, young duckling, domesticated, white pekin, leg, meat only, bone in, cooked without skin, braised"
"1052","chicken, broiler, rotisserie, bbq, drumstick, meat only"
"1053","chicken, wing, frozen, glazed, barbecue flavored, heated (conventional oven)"
"1054","chicken patty, frozen, uncooked"
"1055","chicken patty, frozen, cooked"
"1056","chicken breast tenders, breaded, cooked, microwaved"
"1057","chicken breast tenders, breaded, uncooked"
"1058","chicken, ground, raw"
"1059","chicken, ground, crumbles, cooked, pan-browned"
"1060","chicken, broiler, rotisserie, bbq, thigh, meat only"
"1061","chicken, feet, boiled"
"1062","usda commodity chicken, canned, meat only, drained"
"1063","usda commodity, chicken, canned, meat only, with water"
"1064","usda commodity, chicken, canned, meat only, with broth"
"1065","chicken, broiler, rotisserie, bbq, wing, meat only"
"1066","chicken, broilers or fryers, back, meat only, cooked, rotisserie, original seasoning"
"1067","chicken, broilers or fryers, breast, meat only, cooked, rotisserie, original seasoning"
"1068","chicken, broilers or fryers, drumstick, meat only, cooked, rotisserie, original seasoning"
"1069","chicken, broilers or fryers, skin only, cooked, rotisserie, original seasoning"
"1070","chicken, broilers or fryers, thigh, meat only, cooked, rotisserie, original seasoning"
"1071","chicken, broilers or fryers, wing, meat only, cooked, rotisserie, original seasoning"
"1072","chicken, broilers or fryers, back, meat and skin, cooked, rotisserie, original seasoning"
"1073","chicken, broilers or fryers, breast, meat and skin, cooked, rotisserie, original seasoning"
"1074","chicken, broilers or fryers, drumstick, meat and skin, cooked, rotisserie, original seasoning"
"1075","chicken, broilers or fryers, thigh, meat and skin, cooked, rotisserie, original seasoning"
"1076","chicken, broilers or fryers, wing, meat and skin, cooked, rotisserie, original seasoning"
"1077","usda commodity, chicken fajita strips, frozen"
"1078","usda commodity, turkey taco meat, frozen, cooked"
"1079","chicken, broiler, rotisserie, bbq, skin"
"1080","chicken, broiler, rotisserie, bbq, back meat and skin"
"1081","chicken, broiler, rotisserie, bbq, breast meat and skin"
"1082","chicken, broiler, rotisserie, bbq, drumstick meat and skin"
"1083","chicken, broiler, rotisserie, bbq, thigh meat and skin"
"1084","chicken, broiler, rotisserie, bbq, wing meat and skin"
"1085","ruffed grouse, breast meat, skinless, raw"
"1086","usda commodity, turkey ham, dark meat, smoked, frozen"
"1087","emu, ground, raw"
"1088","emu, ground, cooked, pan-broiled"
"1089","emu, fan fillet, raw"
"1090","emu, fan fillet, cooked, broiled"
"1091","emu, flat fillet, raw"
"1092","emu, full rump, raw"
"1093","emu, full rump, cooked, broiled"
"1094","emu, inside drum, raw"
"1095","emu, inside drums, cooked, broiled"
"1096","emu, outside drum, raw"
"1097","emu, oyster, raw"
"1098","emu, top loin, cooked, broiled"
"1099","ostrich, ground, raw"
"1100","ostrich, ground, cooked, pan-broiled"
"1101","ostrich, fan, raw"
"1102","ostrich, inside leg, raw"
"1103","ostrich, inside leg, cooked"
"1104","ostrich, inside strip, raw"
"1105","ostrich, inside strip, cooked"
"1106","ostrich, outside leg, raw"
"1107","ostrich, outside strip, raw"
"1108","ostrich, outside strip, cooked"
"1109","ostrich, oyster, raw"
"1110","ostrich, oyster, cooked"
"1111","ostrich, round, raw"
"1112","ostrich, tenderloin, raw"
"1113","ostrich, tip trimmed, raw"
"1114","ostrich, tip trimmed, cooked"
"1115","ostrich, top loin, raw"
"1116","ostrich, top loin, cooked"
"1117","chicken, liver, all classes, cooked, pan-fried"
"1118","ground turkey, fat free, raw"
"1119","ground turkey, fat free, pan-broiled crumbles"
"1120","ground turkey, fat free, patties, broiled"
"1121","ground turkey, 93% lean, 7% fat, raw"
"1122","ground turkey, 93% lean, 7% fat, pan-broiled crumbles"
"1123","ground turkey, 93% lean, 7% fat, patties, broiled"
"1124","ground turkey, 85% lean, 15% fat, raw"
"1125","ground turkey, 85% lean, 15% fat, pan-broiled crumbles"
"1126","ground turkey, 85% lean, 15% fat, patties, broiled"
"1127","chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, braised"
"1128","chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised"
"1129","chicken, skin (drumsticks and thighs), cooked, braised"
"1130","chicken, skin (drumsticks and thighs), raw"
"1131","chicken, skin (drumsticks and thighs), cooked, roasted"
"1132","chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised"
"1133","chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised"
"1134","chicken, dark meat, drumstick, meat only, with added solution, raw"
"1135","chicken, dark meat, drumstick, meat only, with added solution, cooked, roasted"
"1136","chicken, dark meat, drumstick, meat only, with added solution, cooked, braised"
"1137","chicken, dark meat, thigh, meat only, with added solution, cooked, braised"
"1138","chicken, dark meat, thigh, meat only, with added solution, raw"
"1139","chicken, dark meat, thigh, meat only, with added solution, cooked, roasted"
"1140","chicken, skin (drumsticks and thighs), with added solution, cooked, braised"
"1141","chicken, skin (drumsticks and thighs), with added solution, raw"
"1142","chicken, skin (drumsticks and thighs), with added solution, cooked, roasted"
"1143","chicken, dark meat, drumstick, meat and skin, with added solution, cooked, braised"
"1144","chicken, dark meat, drumstick, meat and skin, with added solution, raw"
"1145","chicken, dark meat, drumstick, meat and skin, with added solution, cooked, roasted"
"1146","chicken, dark meat, thigh, meat and skin, with added solution, cooked, braised"
"1147","chicken, dark meat, thigh, meat and skin, with added solution, raw"
"1148","chicken, dark meat, thigh, meat and skin, with added solution, cooked, roasted"
"1149","chicken, broiler, rotisserie, bbq, back meat only"
"1150","turkey, dark meat from whole, meat only, with added solution, raw"
"1151","turkey, dark meat, meat only, with added solution, cooked, roasted"
"1152","turkey from whole, light meat, meat only, with added solution, raw"
"1153","turkey from whole, light meat, meat only, with added solution, cooked, roasted"
"1154","turkey, skin from whole (light and dark), with added solution, raw"
"1155","turkey, skin from whole, (light and dark), with added solution, roasted"
"1156","turkey, dark meat from whole, meat and skin, with added solution, raw"
"1157","turkey, dark meat from whole, meat and skin, with added solution, cooked, roasted"
"1158","turkey from whole, light meat, meat and skin, with added solution, raw"
"1159","turkey from whole, light meat, meat and skin, with added solution, cooked, roasted"
"1160","turkey, whole, meat only, with added solution, raw"
"1161","turkey, whole, meat only, with added solution, roasted"
"1162","turkey, whole, meat and skin, with added solution, raw"
"1163","turkey, whole, meat and skin, with added solution, roasted"
"1164","turkey, retail parts, breast, meat only, with added solution, raw"
"1165","turkey, retail parts, breast, meat only, with added solution, cooked, roasted"
"1166","turkey, retail parts, breast, meat only, raw"
"1167","turkey, retail parts, breast, meat only, cooked, roasted"
"1168","turkey, retail parts, wing, meat only, raw"
"1169","turkey, retail parts, wing, meat only, cooked, roasted"
"1170","turkey, skin, from retail parts, from dark meat, raw"
"1171","turkey, skin, from retail parts, from dark meat, cooked, roasted"
"1172","turkey, retail parts, drumstick, meat only, raw"
"1173","turkey, retail parts, thigh, meat only, raw"
"1174","turkey, breast, from whole bird, meat only, with added solution, roasted"
"1175","turkey, back, from whole bird, meat only, with added solution, raw"
"1176","turkey, back, from whole bird, meat only, with added solution, roasted"
"1177","turkey, breast, from whole bird, meat only, with added solution, raw"
"1178","turkey, retail parts, thigh, meat only, cooked, roasted"
"1179","turkey, retail parts, drumstick, meat only, cooked, roasted"
"1180","turkey, drumstick, from whole bird, meat only, with added solution, raw"
"1181","turkey, drumstick, from whole bird, meat only, with added solution, roasted"
"1182","turkey, thigh, from whole bird, meat only, with added solution, raw"
"1183","turkey, retail parts, breast, meat and skin, with added solution, raw"
"1184","turkey, thigh, from whole bird, meat only, with added solution, roasted"
"1185","turkey, wing, from whole bird, meat only, with added solution, raw"
"1186","turkey, wing, from whole bird, meat only, with added solution, roasted"
"1187","turkey, retail parts, breast, meat and skin, raw"
"1188","turkey, retail parts, breast, meat and skin, cooked, roasted"
"1189","turkey, retail parts, wing, meat and skin, raw"
"1190","turkey, retail parts, wing, meat and skin, cooked, roasted"
"1191","turkey, retail parts, drumstick, meat and skin, raw"
"1192","turkey, retail parts, drumstick, meat and skin, cooked, roasted"
"1193","turkey, drumstick, from whole bird, meat only, raw"
"1194","turkey, drumstick, from whole bird, meat only, roasted"
"1195","turkey, thigh, from whole bird, meat only, raw"
"1196","turkey, thigh, from whole bird, meat only, roasted"
"1197","turkey, retail parts, thigh, meat and skin, raw"
"1198","turkey, retail parts, thigh, meat and skin, cooked, roasted"
"1199","turkey, back, from whole bird, meat and skin, with added solution, raw"
"1200","turkey, back, from whole bird, meat and skin, with added solution, roasted"
"1201","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"
"1202","chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled"
"1203","chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, braised"
"1204","chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, grilled"
"1205","soup, cream of asparagus, canned, condensed"
"1206","soup, black bean, canned, condensed"
"1207","campbell's red and white, beefy mushroom soup, condensed"
"1208","soup, bean with pork, canned, condensed"
"1209","soup, bean with frankfurters, canned, condensed"
"1210","soup, bean with ham, canned, chunky, ready-to-serve"
"1211","soup, beef broth or bouillon canned, ready-to-serve"
"1212","soup, beef noodle, canned, condensed"
"1213","soup, cream of celery, canned, condensed"
"1214","soup, cheese, canned, condensed"
"1215","soup, chicken broth, canned, condensed"
"1216","campbell's red and white, broccoli cheese soup, condensed"
"1217","soup, chicken, canned, chunky, ready-to-serve"
"1218","soup, cream of chicken, canned, condensed"
"1219","soup, chicken gumbo, canned, condensed"
"1220","soup, chunky chicken noodle, canned, ready-to-serve"
"1221","soup, chicken noodle, canned, condensed"
"1222","soup, chicken rice, canned, chunky, ready-to-serve"
"1223","soup, chicken with rice, canned, condensed"
"1224","soup, chicken and vegetable, canned, ready-to-serve"
"1225","soup, chicken vegetable, canned, condensed"
"1226","soup, chili beef, canned, condensed"
"1227","soup, clam chowder, manhattan style, canned, chunky, ready-to-serve"
"1228","soup, clam chowder, manhattan, canned, condensed"
"1229","campbell's, healthy request, chicken with rice, condensed"
"1230","soup, clam chowder, new england, canned, condensed"
"1231","soup, beef broth bouillon and consomme, canned, condensed"
"1232","soup, lentil with ham, canned, ready-to-serve"
"1233","campbell's, cheddar cheese soup, condensed"
"1234","soup, minestrone, canned, chunky, ready-to-serve"
"1235","soup, minestrone, canned, condensed"
"1236","campbell's red and white, chicken and dumplings soup, condensed"
"1237","soup, mushroom barley, canned, condensed"
"1238","soup, cream of mushroom, canned, condensed"
"1239","soup, mushroom with beef stock, canned, condensed"
"1240","soup, onion, canned, condensed"
"1241","soup, cream of onion, canned, condensed"
"1242","campbell's red and white, chicken and stars soup, condensed"
"1243","soup, oyster stew, canned, condensed"
"1244","soup, pea, green, canned, condensed"
"1245","soup, pea, split with ham, canned, chunky, ready-to-serve"
"1246","soup, pea, split with ham, canned, condensed"
"1247","soup, cream of potato, canned, condensed"
"1248","campbell's red and white, chicken alphabet soup, condensed"
"1249","soup, cream of shrimp, canned, condensed"
"1250","campbell's red and white, chicken broth, condensed"
"1251","campbell's red and white, chicken gumbo soup, condensed"
"1252","soup, tomato beef with noodle, canned, condensed"
"1253","campbell's, red and white, chicken noodle soup, condensed"
"1254","soup, tomato rice, canned, condensed"
"1255","soup, turkey, chunky, canned, ready-to-serve"
"1256","soup, chunky vegetable, canned, ready-to-serve"
"1257","soup, vegetarian vegetable, canned, condensed"
"1258","soup, chunky beef, canned, ready-to-serve"
"1259","soup, vegetable beef, canned, condensed"
"1260","soup, vegetable with beef broth, canned, condensed"
"1261","soup, beef broth or bouillon, powder, dry"
"1262","soup, beef broth, cubed, dry"
"1263","soup, chicken broth or bouillon, dry"
"1264","soup, chicken broth cubes, dry"
"1265","campbell's red and white, chicken noodleo's soup, condensed"
"1266","campbell's red and white, chicken vegetable soup, condensed"
"1267","campbell's red and white, beef broth, condensed"
"1268","soup, onion, dry, mix"
"1269","campbell's red and white, beef consomme, condensed"
"1270","soup, cream of vegetable, dry, powder"
"1271","sauce, teriyaki, ready-to-serve"
"1272","gravy, au jus, canned"
"1273","gravy, au jus, dry"
"1274","gravy, beef, canned, ready-to-serve"
"1275","campbell's red and white, bean with bacon soup, condensed"
"1276","gravy, brown, dry"
"1277","gravy, chicken, canned or bottled, ready-to-serve"
"1278","gravy, chicken, dry"
"1279","gravy, mushroom, canned"
"1280","gravy, mushroom, dry, powder"
"1281","gravy, onion, dry, mix"
"1282","gravy, pork, dry, powder"
"1283","gravy, turkey, canned, ready-to-serve"
"1284","gravy, turkey, dry"
"1285","gravy, unspecified type, dry"
"1286","soup, chicken noodle, dry, mix"
"1287","sauce, sofrito, prepared from recipe"
"1288","usda commodity, spaghetti sauce, meatless, canned"
"1289","campbell's red and white, beef noodle soup, condensed"
"1290","campbell's red and white, beef with vegetables and barley soup, condensed"
"1291","soup, beef mushroom, canned, condensed"
"1292","soup, chicken mushroom, canned, condensed"
"1293","sauce, barbecue"
"1294","sauce, plum, ready-to-serve"
"1295","sauce, pizza, canned, ready-to-serve"
"1296","soup, tomato bisque, canned, condensed"
"1297","soup, tomato, canned, condensed"
"1298","sauce, salsa, ready-to-serve"
"1299","sauce, homemade, white, thin"
"1300","sauce, homemade, white, medium"
"1301","sauce, homemade, white, thick"
"1302","sauce, ready-to-serve, pepper or hot"
"1303","sauce, ready-to-serve, pepper, tabasco"
"1304","soup, stock, beef, home-prepared"
"1305","soup, stock, chicken, home-prepared"
"1306","soup, stock, fish, home-prepared"
"1307","sauce, hoisin, ready-to-serve"
"1308","sauce, oyster, ready-to-serve"
"1309","soup, minestrone, canned, reduced sodium, ready-to-serve"
"1310","usda commodity, salsa"
"1311","sauce, fish, ready-to-serve"
"1312","soup, shark fin, restaurant-prepared"
"1313","soup, cream of mushroom, canned, condensed, reduced sodium"
"1314","soup, chicken broth, less/reduced sodium, ready to serve"
"1315","soup, beef broth, less/reduced sodium, ready to serve"
"1316","sauce, teriyaki, ready-to-serve, reduced sodium"
"1317","soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve"
"1318","split pea soup, canned, reduced sodium, prepared with water or ready-to serve"
"1319","split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve"
"1320","soup, chicken broth, ready-to-serve"
"1321","campbell's, healthy request, cream of chicken soup, condensed"
"1322","soup, cream of asparagus, canned, prepared with equal volume milk"
"1323","soup, chicken vegetable with potato and cheese, chunky, ready-to-serve"
"1324","campbell's, 98% fat free cream of broccoli soup, condensed"
"1325","soup, cream of celery, canned, prepared with equal volume milk"
"1326","soup, cheese, canned, prepared with equal volume milk"
"1327","campbell's, 25% less sodium chicken noodle soup, condensed"
"1328","campbell's red and white, 25% less sodium tomato soup, condensed"
"1329","campbell's, 25% less sodium cream of mushroom soup, condensed"
"1330","campbell's, 98% fat free broccoli cheese soup, condensed"
"1331","soup, cream of chicken, canned, prepared with equal volume milk"
"1332","soup, vegetable, canned, low sodium, condensed"
"1333","campbell's, 98% fat free cream of celery soup, condensed"
"1334","campbell's, 98% fat free cream of chicken soup, condensed"
"1335","prego pasta, chunky garden mushroom and green pepper italian sauce, ready-to-serve"
"1336","prego pasta, chunky garden mushroom supreme italian sauce, ready-to-serve"
"1337","prego pasta, diced onion and garlic italian sauce, ready-to-serve"
"1338","prego pasta, flavored with meat italian sauce, ready-to-serve"
"1339","prego pasta, fresh mushroom italian sauce, ready-to-serve"
"1340","prego pasta, garlic supreme italian sauce, ready-to-serve"
"1341","prego pasta, italian sausage and garlic italian sauce, ready-to-serve"
"1342","prego pasta, mini meatball italian sauce, ready-to-serve"
"1343","prego pasta, mushroom and garlic italian sauce, ready-to-serve"
"1344","soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk"
"1345","prego pasta, mushroom and parmesan italian sauce, ready-to-serve"
"1346","prego pasta, organic mushroom italian sauce, ready-to-serve"
"1347","prego pasta, organic tomato and basil italian sauce, ready-to-serve"
"1348","prego pasta, heart smart- ricotta parmesan italian sauce, ready-to-serve"
"1349","p rego pasta, roasted garlic and herb italian sauce, ready-to-serve"
"1350","prego pasta, roasted garlic parmesan italian sauce, ready-to-serve"
"1351","prego pasta, heart smart- roasted red pepper and garlic italian sauce, ready-to-serve"
"1352","prego pasta, tomato, basil and garlic italian sauce, ready-to-serve"
"1353","prego pasta, zesty mushroom italian sauce, ready-to-serve"
"1354","campbell's chunky microwavable bowls, beef with country vegetables soup, ready-to-serve"
"1355","campbell's chunky microwavable bowls, chicken and dumplings soup, ready-to-serve"
"1356","soup, cream of mushroom, canned, prepared with equal volume low fat (2%) milk"
"1357","campbell's chunky microwavable bowls, classic chicken noodle, ready-to-serve"
"1358","campbell's chunky microwavable bowls, grilled chicken and sausage gumbo, ready-to-serve"
"1359","soup, cream of onion, canned, prepared with equal volume milk"
"1360","soup, oyster stew, canned, prepared with equal volume milk"
"1361","soup, pea, green, canned, prepared with equal volume milk"
"1362","campbell's chunky microwavable bowls, new england clam chowder, ready-to-serve"
"1363","campbell's chunky microwavable bowls, old fashioned vegetable beef soup, ready-to-serve"
"1364","campbell's chunky microwavable bowls, sirloin burger with country vegetables soup, ready-to-serve"
"1365","soup, cream of potato, canned, prepared with equal volume milk"
"1366","soup, cream of shrimp, canned, prepared with equal volume low fat (2%) milk"
"1367","sauce, white, thin, prepared-from-recipe, with butter"
"1368","sauce, sweet and sour, prepared-from-recipe"
"1369","sauce, barbecue, kraft, original"
"1370","campbell's, chicken with rice soup, condensed"
"1371","campbell's red and white, chicken won ton soup, condensed"
"1372","campbell's red and white, cream of asparagus soup, condensed"
"1373","soup, healthy choice chicken noodle soup, canned"
"1374","soup, healthy choice chicken and rice soup, canned"
"1375","soup, healthy choice garden vegetable soup, canned"
"1376","gravy, campbell's, beef, fat free"
"1377","gravy, campbell's, country style cream"
"1378","gravy, campbell's, country style sausage"
"1379","gravy, campbell's, chicken, fat free"
"1380","gravy, campbell's, golden pork"
"1381","gravy, campbell's, mushroom"
"1382","gravy, campbell's, turkey, fat free"
"1383","gravy, campbell's, beef, microwavable"
"1384","gravy, campbell's, chicken, microwavable"
"1385","gravy, campbell's, turkey"
"1386","gravy, franco-american, beef, slow roast, fat free"
"1387","gravy, franco-american, chicken, slow roast, fat free"
"1388","gravy, franco-american, beef, slow roast"
"1389","gravy, franco-american, chicken, slow roast"
"1390","gravy, franco-american, turkey, slow roast"
"1391","gravy, campbell's, turkey, microwavable"
"1392","campbell's red and white, cream of broccoli soup, condensed"
"1393","campbell's red and white, cream of celery soup, condensed"
"1394","campbell's, cream of chicken soup, condensed"
"1395","campbell's, cream of chicken with herbs soup, condensed"
"1396","campbell's, cream of mushroom soup, condensed"
"1397","campbell's, cream of mushroom with roasted garlic soup, condensed"
"1398","campbell's red and white, cream of onion soup, condensed"
"1399","campbell's, cream of potato soup, condensed"
"1400","campbell's red and white, cream of shrimp soup, condensed"
"1401","campbell's red and white, creamy chicken noodle soup, condensed"
"1402","campbell's red and white, scooby-doo soup, condensed"
"1403","campbell's red and white, double noodle in chicken broth soup, condensed"
"1404","campbell's red and white, old fashioned tomato rice soup, condensed"
"1405","campbell's red and white, fiesta nacho cheese soup, condensed"
"1406","campbell's red and white, french onion soup, condensed"
"1407","campbell's red and white, golden mushroom soup, condensed"
"1408","campbell's red and white, goldfish pasta with chicken in chicken broth, condensed"
"1409","soup, tomato bisque, canned, prepared with equal volume milk"
"1410","soup, tomato, canned, prepared with equal volume low fat (2%) milk"
"1411","campbell's red and white, green pea soup, condensed"
"1412","campbell's, homestyle chicken noodle soup, condensed"
"1413","campbell's red and white, manhattan clam chowder, condensed"
"1414","campbell's red and white, mega noodle in chicken broth, condensed"
"1415","campbell's red and white, minestrone soup, condensed"
"1416","campbell's red and white, new england clam chowder, condensed"
"1417","campbell's red and white, vegetarian vegetable soup, condensed"
"1418","campbell's red and white, vegetable soup, condensed"
"1419","campbell's, vegetable beef soup, condensed"
"1420","campbell's, tomato soup, condensed"
"1421","campbell's red and white, tomato bisque, condensed"
"1422","campbell's red and white, split pea with ham and bacon soup, condensed"
"1423","campbell's chunky soups, baked potato with cheddar & bacon bits soup"
"1424","campbell's chunky soups, baked potato with steak & cheese soup"
"1425","campbell's chunky soups, beef rib roast with potatoes & herbs soup"
"1426","campbell's chunky soups, beef with country vegetables soup"
"1427","campbell's chunky soups, beef with white and wild rice soup"
"1428","campbell's chunky, creamy chicken and dumplings soup"
"1429","campbell's chunky soups, chicken broccoli cheese & potato soup"
"1430","campbell's chunky soups, chicken corn chowder"
"1431","campbell's chunky, classic chicken noodle soup"
"1432","campbell's chunky soups, fajita chicken with rice & beans soup"
"1433","campbell's chunky soups, firehouse - hot & spicy beef & bean chili"
"1434","campbell's chunky soups, grilled chicken & sausage gumbo soup"
"1435","campbell's chunky soups, grilled chicken with vegetables & pasta soup"
"1436","soup, cream of asparagus, canned, prepared with equal volume water"
"1437","soup, black bean, canned, prepared with equal volume water"
"1438","campbell's chunky soups, grilled sirloin steak with hearty vegetables soup"
"1439","soup, bean with pork, canned, prepared with equal volume water"
"1440","campbell's chunky, healthy request chicken noodle soup"
"1441","soup, bean with frankfurters, canned, prepared with equal volume water"
"1442","campbell's chunky soups, healthy request vegetable soup"
"1443","soup, beef noodle, canned, prepared with equal volume water"
"1444","soup, cream of celery, canned, prepared with equal volume water"
"1445","soup, cheese, canned, prepared with equal volume water"
"1446","soup, chicken broth, canned, prepared with equal volume water"
"1447","campbell's chunky soups, hearty bean 'n' ham soup"
"1448","campbell's chunky soups, hearty beef barley soup"
"1449","soup, cream of chicken, canned, prepared with equal volume water"
"1450","soup, chicken gumbo, canned, prepared with equal volume water"
"1451","campbell's chunky soups, hearty chicken with vegetables soup"
"1452","soup, chicken noodle, canned, prepared with equal volume water"
"1453","soup, chicken with rice, canned, prepared with equal volume water"
"1454","soup, chili beef, canned, prepared with equal volume water"
"1455","soup, clam chowder, manhattan, canned, prepared with equal volume water"
"1456","campbell's chunky soups, manhattan clam chowder"
"1457","soup, clam chowder, new england, canned, prepared with equal volume water"
"1458","campbell's chunky, new england clam chowder"
"1459","soup, beef broth, bouillon, consomme, prepared with equal volume water"
"1460","campbell's chunky soups, old fashioned potato ham chowder"
"1461","campbell's chunky soups, old fashioned vegetable beef soup"
"1462","campbell's chunky soups, roadhouse - beef & bean chili"
"1463","campbell's chunky soups, salisbury steak with mushrooms & onions soup"
"1464","campbell's chunky soups, savory chicken with white & wild rice soup"
"1465","soup, minestrone, canned, prepared with equal volume water"
"1466","campbell's chunky soups, savory pot roast soup"
"1467","soup, mushroom barley, canned, prepared with equal volume water"
"1468","soup, cream of mushroom, canned, prepared with equal volume water"
"1469","soup, mushroom with beef stock, canned, prepared with equal volume water"
"1470","soup, cream of onion, canned, prepared with equal volume water"
"1471","campbell's chunky soups, savory vegetable soup"
"1472","soup, oyster stew, canned, prepared with equal volume water"
"1473","soup, pea, green, canned, prepared with equal volume water"
"1474","soup, pea, split with ham, canned, prepared with equal volume water"
"1475","soup, cream of potato, canned, prepared with equal volume water"
"1476","campbell's chunky soups, grilled steak- steak chili with beans"
"1477","soup, cream of shrimp, canned, prepared with equal volume water"
"1478","campbell's chunky soups, slow roasted beef with mushrooms soup"
"1479","campbell's chunky soups, split pea 'n' ham soup"
"1480","soup, tomato beef with noodle, canned, prepared with equal volume water"
"1481","campbell's chunky soups, steak 'n' potato soup"
